Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
ahp,"Aizi, Aproumu",1,1,L,2,,,,N,Y,
ahm,"Aizi, Mobumrin",1,1,L,0,,,,N,N,
ahi,"Aizi, Tiagbamrin",1,1,L,2,,,,N,N,
ajg,"Aja (Benin)",2,2,L,4,,2023,2010-2018,Y,Y,
aja,"Aja (South Sudan)",,,N,0,,,,N,N,
aji,Ajie,2,1,L,4,,1922-2014,1903-1972,N,Y,aji
afo,Ajiri,1,1,L,4,,Yes,1972,N,Y,
idc,Ajiya,1,1,L,3,,,2025,Y,N,4255
muc,Ajumbu,1,1,L,1,,,,N,N,
cpc,"Ajyininka Apurucayali",1,1,L,4,,2000,2000,N,N,cpc
akq,Ak,1,1,N,0,,,,N,Y,
soh,Aka,1,1,N,0,,,,N,N,
aka,Akan,18,9,L,5,1871-1964,1863-1981,1859-1957,Y,Y,
aks,Akaselem,1,1,L,3,,,2018,N,Y,
knj,Akateko,2,2,L,5,2016,1981-2012,1981,Y,Y,knj
ake,Akawaio,3,3,L,4,,2010,1873-2008,N,Y,ake
keu,Akebu,1,1,L,4,,2025,2010-2015,Y,Y,
tsr,Akei,1,1,L,3,,,1909-1924,N,Y,
aeu,Akeu,4,4,L,4,,2015,2006–2012,Y,Y,aeu
ahk,Akha,19,5,L,5,2001-2018,1968-1987,1939-1991,Y,Y,ahk
akv,Akhvakh,1,1,L,2,,,,N,N,
akl,Aklanon,2,2,L,4,,2023-2024,1988-1996,Y,Y,3823
akt,Akolet,1,1,L,2,,,,N,Y,
bss,Akoose,1,1,L,4,,2011-2012,1998-2010,Y,Y,bss
miw,Akoye,1,1,L,3,,,1994-2000,N,N,
ibe,Akpes,1,1,L,2,,,,N,N,
spm,Akukem,1,1,L,3,,,2003-2010,N,Y,spm
ayk,Akuku,1,1,L,3,,,2025,Y,N,
aku,Akum,2,2,L,2,,,,N,Y,
aqz,Akuntsu,1,1,N,0,,,,N,N,
ako,Akurio,,,N,0,,,,N,N,
akw,Akwa,1,1,L,2,,,,N,Y,
akf,Akweya,1,1,L,2,,,,N,Y,
aik,Akye,1,1,L,2,,,,N,Y,
syy,"Al-Sayyid Bedouin Sign Language",,,L,0,,,,N,N,
alw,Alaba-K'abeena,2,1,L,4,,2015-2017,Yes,Y,Y,4138
akz,Alabama,1,1,L,0,,,,N,N,
ala,Alago,1,1,L,4,,Yes,1929,N,Y,4445
wbj,Alagwa,1,1,L,3,,,2018,Y,Y,
alk,Alak,3,1,L,2,,,,N,Y,
amp,Alamblak,1,1,L,4,,2003-2014,1974-1998,N,N,amp
alj,Alangan,1,1,L,4,,1989,1962-1981,Y,Y,
alh,Alawa,,,N,0,,,,N,Y,
sqk,"Albanian Sign Language",1,1,L,1,,,,N,N,
aae,"Albanian, Arbereshe",1,1,L,3,,,1868-1970,N,N,aae
aat,"Albanian, Arvanitika",1,1,N,0,,,,N,N,
aln,"Albanian, Gheg",24,24,L,4,,1869-1990,1866-1978,Y,Y,aln
als,"Albanian, Tosk",5,5,L,5,Yes,1827-2007,1824-1914,Y,Y,als
lsc,"Albarradas Sign Language",,,L,2,,,,N,N,
gwd,Ale,1,1,L,3,,,2017-2020,Y,Y,
gah,Alekano,1,1,L,4,,1973-2013,1963-1968,N,Y,gah
ale,Aleut,2,2,N,3,,,1840-2008,N,Y,
asp,"Algerian Sign Language",1,1,L,2,,,,N,N,
alq,Algonquin,1,1,L,4,,1998-2021,1980-1998,N,Y,alq
aiy,Ali,1,1,L,3,,,2020,N,N,
ald,Alladian,1,1,L,4,,2003-2005,1937-1968,N,Y,ald
all,Allar,1,,L,2,,,,N,Y,
aol,Alor,1,1,L,2,,,,N,Y,
aqn,"Alta, Northern",1,1,L,2,,,,N,N,
agy,"Alta, Southern",1,1,L,3,,,1970-1974,N,Y,
atv,"Altai, Northern",4,2,L,3,,,2020,N,N,
alt,"Altai, Southern",3,1,L,4,,2003-2017,Yes,Y,Y,alt
aub,Alugu,1,1,L,1,,,,N,N,
alp,Alune,1,1,L,4,,2012,1991-2012,N,Y,alp
yna,Aluo,1,1,L,2,,,,N,N,
alz,Alur,2,2,L,5,1936-2024,1933-1979,1921-1985,Y,Y,alz
alr,Alutor,,,N,0,,,,N,N,
avd,Alviri-Vidari,1,1,L,0,,,,N,Y,
aly,Alyawarr,1,1,L,3,,,1994-2020,N,Y,aly
nyi,Ama,1,1,L,3,,,1950,Y,Y,
amq,Amahai,,,N,0,,,,N,N,
amc,Amahuaca,2,2,L,4,,2025,1963-1997,N,Y,
ali,Amaimon,1,1,L,2,,,,N,N,
koz,Amako,1,1,L,2,,,,N,N,
aad,Amal,1,1,L,2,,,,N,Y,
ruy,Amalah,1,1,L,2,,,,N,Y,
wer,Amam,1,1,L,4,,1984-2015,1966,Y,Y,wer
jks,"Amami Koniya Sign Language",,,N,0,,,,N,N,
ryn,"Amami-Oshima, Northern",1,1,L,0,,,,N,N,
ams,"Amami-Oshima, Southern",1,1,L,0,,,,N,N,
amn,Amanab,1,1,L,4,,2001-2012,1996-1997,Y,Y,amn
ama,Amanaye,,,N,0,,,,N,N,
aie,Amara,1,1,L,1,,,,N,N,
amr,Amarakaeri,1,1,L,4,,1986-2008,1972-1976,N,Y,amr
aaz,Amarasi,1,1,L,4,,2014-2015,2002-2011,N,Y,aaz
utp,"Amba (Solomon Islands)",2,1,L,2,,,,N,Y,
rwm,"Amba (Uganda)",2,2,L,3,,,2004-2025,Y,Y,4356
omb,"Ambae, East",1,1,L,4,,2013-2014,1971-1986,Y,Y,omb
nnd,"Ambae, West",1,1,L,4,,1984-2018,1916,N,Y,nnd
amk,Ambai,1,1,L,4,,2010,1991-2003,Y,Y,amk
aew,Ambakich,1,1,L,0,,,,N,N,
wgo,Ambel,1,1,L,2,,,,N,Y,
amv,Ambelau,1,1,L,1,,,,N,N,
ael,Ambele,1,1,L,1,,,,N,Y,
alm,Amblong,1,1,L,0,,,,N,N,
amb,Ambo,1,1,L,2,,,,N,Y,
aag,Ambrak,1,1,L,1,,,,N,N,
mmg,"Ambrym, North",1,1,L,3,,,2019-2021,N,Y,mmg
tvk,"Ambrym, Southeast",1,1,L,4,,2015,1949-2011,Y,Y,tvk
apo,Ambul,1,1,L,1,,,,N,N,
abt,Ambulas,1,1,L,4,,1974-1996,1974-1992,N,Y,abt
amj,Amdang,2,2,L,2,,,,N,N,
aey,Amele,1,1,L,4,,1997,1952-1989,N,Y,aey
ase,"American Sign Language",3,3,L,5,2020,2005,1982-1996,Y,N,
amh,Amharic,25,21,L,5,1840-2014,1829-1988,1824-1988,Y,Y,amh
